epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.16866,0.62456,1,1,0.0451,0.000473319,0.000473319,0.000473319
2,17.5892,0.21948,0.9697,1,0.0471,0.000855636,0.000855636,0.000855636
3,25.703,0.18189,1,1,0.01411,0.00114364,0.00114364,0.00114364
4,33.7648,0.14559,0.9697,1,0.01717,0.00100459,0.00100459,0.00100459
5,41.9023,0.12375,1,1,0.02236,0.000863116,0.000863116,0.000863116
6,50.4059,0.10281,0.9697,1,0.02052,0.000721645,0.000721645,0.000721645
7,58.8914,0.09758,1,1,0.01255,0.000580174,0.000580174,0.000580174
8,67.4417,0.06368,0.9697,1,0.0305,0.000438703,0.000438703,0.000438703
9,76.0406,0.08521,1,1,0.0143,0.000297232,0.000297232,0.000297232
10,84.6252,0.06487,1,1,0.03481,0.000155761,0.000155761,0.000155761
